USA	Clay Guida	The Carpenter	12–12
USA	BJ Penn[39]	The Prodigy	12–9–2
USA	Jeremy Stephens	Lil' Heathen	12–11
USA	Frankie Edgar	The Answer	14–5–1
GER	Dennis Siver	The Menace	11–8 (1 NC)
USA	Cub Swanson	Cub	13–6
USA	Cole Miller	Magrinho	10–8 (1 NC)
BRA	José Aldo* (IC)	Junior	16–1
USA	Gray Maynard[40]	The Bully	10–5–1 (1 NC)
BRA	Thiago Tavares		10–6–1
USA	Chad Mendes	Money	12–4
USA	Ricardo Lamas	The Bully	11–5
USA	Anthony Pettis*[41]	Showtime	11–5
BRA	Charles Oliveira	Do Bronx	9–6 (1 NC)
USA	Max Holloway	Blessed	12–3
USA	Darren Elkins	The Damage	11–4
USA	Alex Caceres	Bruce Leroy	7–7 (1 NC)
BRA	Renan Barão	The Baron	11–3
USA	Dennis Bermudez	The Menace	9–3
USA	Sam Sicilia		5–6
VEN	Maximo Blanco	Maxi	4–6
IRE	Conor McGregor (C)	The Notorious	8–1
BRA	Godofredo Pepey	Pepey	5–4
USA	Myles Jury	The Fury	6–2
BRA	Rony Jason	Jason	4–3 (1 NC)
USA	Chas Skelly	The Scrapper	5–2
USA	Andre Fili	Touchy	4–3
BRA	Hacran Dias	Barnabe	3–4
USA	Yaotzin Meza		2–4 (1 NC)
USA	Jimy Hettes	The Kid	3–3
KOR	Chan Sung Jung	The Korean Zombie	3–3
USA	Mike De La Torre	El Cucuy	2–3 (1 NC)
USA	Phillipe Nover	The Filipino Assassin	1–5
MEX	Yair Rodríguez	El Pantera	5–0
USA	Brian Ortega	T-City	4–0 (1 NC)
NZL	Dan Hooker	The Hangman	3–2
BIH	Mirsad Bektic		4–0
MEX	Gabriel Benítez	Moggly	3–1
RUS	Zubaira Tukhugov	Warrior	3–1
USA	Charles Rosa	Boston Strong	2–2
USA	Alex White	The Spartan	2–2
USA	Clay Collard	Cassius	1–3
JPN	Mizuto Hirota	Pugnus	0–3–1
FIN	Makwan Amirkhani	Mr. Finland	3–0
KOR	Doo Ho Choi	The Korean Superboy	3–0
JPN	Teruto Ishihara	Yashabo	2–0–1
BRA	Tiago Trator	Trator	2–1
RUS	Artem Lobov	The Russian Hammer	1–2
GBR	Arnold Allen	Almighty	2–0
BRA	Renato Moicano	Moicano	2–0
CHL	Diego Rivas	Pitbull	2–0
PER	Enrique Barzola	El Fuerte	1–1
USA	Kyle Bochniak	Crash	1–1
USA	Jason Knight	The Kid	1–1
BRA	Fernando Bruno[42]	Açougueiro	0–2
USA	Ryan Hall[43]	The Wizard	1–0
CAN	Jeremy Kennedy	JBC	1–0
USA	Luke Sanders	Cool Hand	1–0
USA	Chris Avila		0–1
GER	Martin Buschkamp	Barracuda	0–0
ENG	Alex Enlund		0–0
RUS	Zabit Magomedsharipov[44]		0–0
