USA,Donald Cerrone,Cowboy,24–7 ,1w
BRA,Demian Maia,,18–6,2w
USA,Nate Diaz,,14–9,3w
CAN,Georges St-Pierre,Rush,19–2,4w
USA,Matt Brown,The Immortal,13–9,5w
USA,Robbie Lawler,Ruthless,13–8,6w
CAN,Patrick Côté,The Predator,10–10,7w
USA,Johny Hendricks,Bigg Rigg,14–5,8w
USA,Rick Story,The Horror,12–7,9w
USA,Carlos Condit,The Natural Born Killer,12–6,10w
USA,Jake Ellenberger,The Juggernaut,10–7,11w
USA,Mike Pyle,Quicksand,10–7,12w
KOR,Dong Hyun Kim,The Stun Gun,12–3 ,13w
USA,Josh Burkman,The People's Warrior,6–9 ,14w
USA,Neil Magny,,11–4,15w
USA,Lorenz Larkin,The Monsoon,9–5 ,16w
USA,Jorge Masvidal,Gamebred,9–5,17w
BRA,Erick Silva,Índio,7–6,18w
USA,Tyron Woodley ,The Chosen One,9–3,19w
USA,Tim Means,The Dirty Bird,8–4,20w
USA,Ben Saunders,Killa B,7–4,21w
USA,Court McGee,The Crusher,7–4,22w
AUS,Kyle Noke,KO,6–5,23w
GBR,Dan Hardy,The Outlaw,6–4,24w
USA,Stephen Thompson,Wonderboy,8–1,25w
USA,Kelvin Gastelum,,7–2,26w
GBR,John Hathaway,The Hitman,7–2,27w
USA,Yancy Medeiros,Frisson,4–4 ,28w
ISL,Gunnar Nelson,Gunni,6–2,29w
BEL,Tarec Saffiedine,Sponge,6–2,30w
RUS,Albert Tumenov,Einstein,5–3,31w
BRA,Roan Carneiro[27],Jucão,4–4,32w
USA,Alan Jouban,Brahma,5–2,33w
ARG,Santiago Ponzinibbio,Gente Boa,5–2,34w
GER,Peter Sobotta,,3–4,35w
JPN,Yoshihiro Akiyama,Sexyama,2–5,36w
JPN,Keita Nakamura,K-Taro,2–5,37w
BRA,Alex Oliveira,Cowboy,5–2,38w
USA,Colby Covington,Chaos,5–1,39w
USA,Ryan LaFlare,,5–1,40w
USA,Sean Strickland,Tarzan,5–1,41w
BRA,Sérgio Moraes,The Panther,4–1–1,42w
USA,Zak Cummings,,4–2,43w
GBR,Leon Edwards,Rocky,4–2,44w
CAN,Chad Laprise,Disciple,4–2,45w
RUS,Omari Akhmedov,Wolverine,3–3,46w
KOR,Hyun Gyu Lim,The Ace,3–3,47w
BRA,Warlley Alves,,4–1,48w
FRA,Nordine Taleb,,4–1,49w
DOM,Alex Garcia,The Dominican Nightmare,3–2,50w
CHN,Li Jingliang,The Leech,3–2,51w
CAN,Jordan Mein[28],Young Gun,3–2,52w
SWE,Nico Musoke,Nico,3–2,53w
USA,George Sullivan,The Silencer,3–2,54w
USA,James Moontasri,Moonwalker,2–3,55w
USA,Brandon Thatch,Rukus,2–3,56w
AUS,Richard Walsh,Filthy Rich,2–3,57w
RUS,Alexander Yakovlev,Thunder Of The North,2–3,58w
BRA,Viscardi Andrade,,3–1,59w
USA,Bryan Barberena,Bam Bam,3–1,60w
GBR,Tom Breese,The Octopus,3–1,61w
JPN,Kiichi Kunimoto,Strasser,3–1,62w
BRA,Vicente Luque,The Silent Assassin,3–1,63w
AFG,Siyar Bahadurzada,The Great,2–2,64w
DEN,Nicolas Dalby,Sharpshooter,1–2–1,65w
USA,Dominique Steele,Nonstop Action-Packed,1–3,66w
BRA,Alberto Mina,Soldier of God,3–0,67w
NGR,Kamaru Usman,Nigerian Nightmare,3–0,68w
USA,Michael Graves,,2–0–1,69w
JAM,Randy Brown,Rude Boy,2–1,70w
GBR,Danny Roberts,Hot Chocolate,2–1,71w
BRA,Elizeu Zaleski dos Santos,Capoeira,2–1,72w
MEX,Augusto Montaño,Dodger,1–2,73w
AUS,Brendan O'Reilly,Badger,1–2,74w
CAN,Sheldon Westcott,,1–2,75w
POL,Bartosz Fabiński,The Butcher,2–0,76w
USA,Mickey Gall,,2–0,77w
USA,Mike Perry,Platinum,2–0,78w
BRA,Cláudio Silva,Hannibal,2–0,79w
GBR,Darren Till,,1–0–1,80w
SER,Bojan Veličković,Serbian Steel,1–0–1,81w
JPN,Shinsho Anzai,Animal,1–1,82w
USA,Nathan Coy,Soulforce,1–1,83w
MEX,Alvaro Herrera,Chango,1–1,84w
MEX,Erick Montaño,Perry,1–1,85w
USA,Belal Muhammad,Remember the Name,1–1,86w
BRA,Antônio Braga Neto,,1–1,87w
USA,Héctor Urbina,El Toro,1–1,88w
BRA,Luan Chagas,Tarzan,0–1–1,89w
AUS,Anton Zafir,The Professor,0–2,90w
GER,Jessin Ayari,Abacus,1–0,91w
USA,Lyman Good,Cyborg,1–0,92w
USA,Alex Morono,The Great White,1–0,93w
USA,Zak Ottow,,1–0,94w
USA,CM Punk,CM Punk,0–1,95w
RUS,Sultan Aliev,,0–1,96w
USA,Max Griffin,Pain,0–1,97w
USA,Sabah Homasi,The Problem,0–1,98w
CAN,Jonathan Meunier,The French Spider,0–1,99w
ENG,Jim Wallhead,Judo,0–1,100w
IRE,Charlie Ward,,0–0,101w
NOR,Emil Weber Meek,Valhalla,0–0,102w
